Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  143    1 0xffffff7f956e8000 0x4000     0x4000     com.apple.iokit.IORSMFamily (1) 95AE02FA-43A9-3D77-A0C6-8AEC408FE64D <7 6 3 1>
  144    0 0xffffff7f95256000 0x4ffc     0x4ffc     com.apple.driver.AppleRSMChannel (1) B85FE082-C4E6-3E30-A244-09DACB3E8347 <143 8 7 6 3 1>
  145    0 0xffffff7f952a5000 0x3ff4     0x3ff4     com.apple.driver.AppleSunrise (1) 5AE03C01-D39A-364B-91E7-8B536E7FE1EF <18 8 7 6 3 1>
  146    1 0xffffff7f9570b000 0x7d000    0x7d000    com.apple.plugin.IOgPTPPlugin (1240.15) DABEE554-F87C-3FA5-B968-1C5EC52AFC43 <77 56 55 53 13 8 7 6 3 1>
  147    0 0xffffff7f95435000 0x13ff9    0x13ff9    com.apple.iokit.IOAVBFamily (1220.1) 1E201EB0-CF96-341B-B4EA-CF5406AC4042 <146 56 53 8 7 6 3 1>
  148    1 0xffffff7f94a1f000 0x5ffa     0x5ffa     com.apple.driver.AppleCallbackPowerSource (1) CF414600-E1ED-3200-8136-3B83A81850F1 <8 7 6 3 1>
  149    0 0xffffff7f95682000 0x6ff7     0x6ff7     com.apple.driver.IOHIDPowerSource (1) 99CDD3CF-5FB6-388C-AA6D-2272E88F3EC1 <148 77 8 7 6 3 1>
  150    0 0xffffff7f964aa000 0xfffa     0xfffa     com.anomy.driver.FakeIrisXEFramebuffer (11.7) C6AC36D8-41B7-3E0E-818E-FE248DC8CBBD <135 77 49 18 17 9 6 3>
  151    0 0xffffff7f957c6000 0x14ff4    0x14ff4    com.apple.driver.usb.AppleUSBUserHCI (1) 8667F0CB-4E33-3612-95E9-8EA9C645BD86 <38 36 7 6 3 1>
  152    0 0xffffff7f957e8000 0x4fff     0x4fff     com.apple.iokit.IOUserEthernet (1.0.1) 360E4051-4D85-366A-AF36-6F9C429BD29D <53 8 7 6 3 1>
  153    2 0xffffff7f95b9c000 0x3000     0x3000     com.apple.kext.triggers (1.0) 5CC62F5F-4087-310E-BC9A-7F5840AA0704 <9 8 7 6 3 1>
  154    0 0xffffff7f95a45000 0xa5000    0xa5000    com.apple.filesystems.nfs (1) D53323BB-6A9A-335D-96E2-3EB26C72B5FF <153 10 9 8 7 6 3 1>
  155    0 0xffffff7f95af0000 0x9000     0x9000     com.apple.driver.pmtelemetry (1) F513AC3E-8376-3C88-8FD4-BC15249AF633 <9 8 7 6 3 1>
  156    0 0xffffff7f951f4000 0x3000     0x3000     com.apple.driver.AppleIntelPCHPMC (2.0.1) D9097257-9E3B-3CF6-B91D-DAFF8F591BB9 <128 19 18 17 6 3>
